name,state,latitude,longitude,population
"Wilmington","CA","33.78002","-118.26257","52000"
"Queens Village","NY","40.72677","-73.74152","51919"
"Brookhaven","GA","33.85844","-84.3402","51910"
"Levittown","NY","40.72593","-73.51429","51881"
"Palm Desert","CA","33.72255","-116.37697","51869"
"Joplin","MO","37.08423","-94.51328","51818"
"Enid","OK","36.39559","-97.87839","51776"
"Bonita Springs","FL","26.33981","-81.7787","51704"
"Irondequoit","NY","43.2134","-77.57972","51692"
"Caldwell","ID","43.66294","-116.68736","51686"
"Minnetonka","MN","44.9133","-93.50329","51669"
"Pinellas Park","FL","27.8428","-82.69954","51617"
"Battle Creek","MI","42.3173","-85.17816","51589"
"Casa Grande","AZ","32.8795","-111.75735","51460"
"South Shore","IL","41.76198","-87.57783","51451"
"Mott Haven","NY","40.80899","-73.92291","51450"
"The Villages","FL","28.93408","-81.95994","51442"
"Grand Island","NE","40.92501","-98.34201","51440"
"Grapevine","TX","32.93429","-97.07807","51404"
"Stratford","CT","41.18454","-73.13317","51384"
"Kentwood","MI","42.86947","-85.64475","51357"
"City of Milford (balance)","CT","41.22374","-73.06164","51271"
"Tigard","OR","45.43123","-122.77149","51253"
"East Hartford","CT","41.78232","-72.61203","51252"
"Apple Valley","MN","44.73191","-93.21772","51221"
"Plainfield","NJ","40.63371","-74.40737","51217"
"Leesburg","VA","39.11566","-77.5636","51209"
"Parsippany","NJ","40.85788","-74.42599","51144"
"Coral Gables","FL","25.72149","-80.26838","51117"
"The Trails of Frisco","TX","33.16087","-96.87182","51059"
"The Hammocks","FL","25.67149","-80.4445","51003"
"Buckeye","AZ","33.37032","-112.58378","50876"
"Flagami","FL","25.76232","-80.31616","50834"
"Catalina Foothills","AZ","32.29785","-110.9187","50796"
"Lakewood","OH","41.48199","-81.79819","50656"
"North La Crosse","WI","43.84635","-91.24819","50470"
"Burien","WA","47.47038","-122.34679","50467"
"Havertown","PA","39.98095","-75.30852","50430"
"Logan","UT","41.73549","-111.83439","50371"
"South Peabody","MA","42.50982","-70.94949","50293"
"Aliso Viejo","CA","33.56504","-117.72712","50195"
"Harrisburg","PA","40.2737","-76.88442","50183"
"Galveston","TX","29.30135","-94.7977","50180"
"Poway","CA","32.96282","-117.03586","50157"
"Edina","MN","44.88969","-93.34995","50138"
"Minnetonka Mills","MN","44.94107","-93.4419","50117"
"Stonecrest","GA","33.70849","-84.13485","50000"
